salesgroth,gics,application,marketcap,cogsgroth,hd,sgagroth,grossincomegroth,finiancial,category,profitability,subcategory,technology,risk,ports,interest,pretax,netincome,EPS,EPSd,EBITDA,frequency
-12.58,global,ALASKA AIR GROUP,10957881344,26.38,9,41.32,-28.69,strength-medium,High,metric-c,infrastructure,Medium,3,"tcp/1900, udp/1900",-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,1.083721963
21.75,global,UNITED CONTINENT,24148760576,25.62,177,21.42,17.53,strength-high,Medium,metric-c,infrastructure,High,5,"tcp/162, udp/162",104.2,0.41,-14.87,-57.99,-57.62,11.49,0.515101044
56.03,global,GOODYEAR TIRE,8437633024,-56.03,1984,28.59,84.98,strength-medium,Medium,metric-e,infrastructure,Medium,1,"tcp/161, udp/161",99.08,99.08,99.5,99.5,91.09,-37.68,0.862980235
5.94,global,DELPHI AUTOMOTIV,22773370880,6.48,2,7.89,2.6,strength-medium,Medium,metric-e,infrastructure,Medium,3,"tcp/5355, udp/5355",-1.11,0.81,1.14,4.07,4.1,3.2,0.682989118
-16.69,global,BORGWARNER INC,8698881024,-28.12,71,0.41,86.3,strength-medium,Medium,metric-e,infrastructure,Medium,5,"tcp/161, udp/161",57.14,59.27,41.99,48.41,48.41,-37.68,0.839773484
-5.97,global,GENERAL MOTORS C,51747430400,-31.28,1,21.42,3.27,strength-medium,Medium,metric-e,infrastructure,Medium,1,tcp/42,0.41,-30.75,-31.63,-18.72,-18.97,-18.72,1.310903842
3.27,global,FORD MOTOR CO,44677885952,3.4,19,0.18,2.78,strength-medium,Medium,metric-e,infrastructure,Medium,3,"tcp/3386, udp/2123, 2152, 3386",-1.72,-13.39,-13.54,-14.09,-14.19,5.41,0.683877415
-12.58,global,HARLEY-DAVIDSON,9712872448,26.38,72,41.32,-28.69,strength-medium,Medium,metric-e,infrastructure,Medium,5,"tcp/161, udp/161",-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,0.694203864
21.75,global,CITIGROUP INC,1.76E+11,25.62,1310,21.42,17.53,strength-low,Medium,metric-e,infrastructure,Low,2,tcp/7800,104.2,0.41,-14.87,-57.99,-57.62,11.49,2.030202087
56.03,global,REGIONS FINANCIA,17261625344,-56.03,682,28.59,84.98,strength-low,Medium,metric-e,infrastructure,Low,2,"tcp/6050, 445, 139, 111, udp/6050",99.08,99.08,99.5,99.5,91.09,-37.68,0.841216966
5.94,global,BANK OF AMERICA,2.33E+11,6.48,1383,7.89,2.6,strength-low,High,metric-e,infrastructure,Low,5,"tcp/5001, udp/5001",-1.11,0.81,1.14,4.07,4.1,3.2,1.51487897
-16.69,global,SUNTRUST BANKS,27147190272,-28.12,0,0.41,86.3,strength-medium,High,metric-e,infrastructure,Medium,1,"tcp/443, udp/53",57.14,59.27,41.99,48.41,48.41,-37.68,0.921274706
-5.97,global,WELLS FARGO & CO,2.69E+11,-31.28,33,21.42,3.27,strength-medium,Medium,metric-e,infrastructure,Medium,2,"tcp/3034, tcp/3035",0.41,-30.75,-31.63,-18.72,-18.97,-18.72,0.606040417
3.27,global,JPMORGAN CHASE,3.06E+11,3.4,83,0.18,2.78,strength-medium,High,metric-e,instant-messaging,Medium,3,"tcp/5222, 5269",-1.72,-13.39,-13.54,-14.09,-14.19,5.41,0.609038419
-12.58,global,PNC FINANCIAL SE,59282763776,26.38,62,41.32,-28.69,strength-medium,Medium,metric-e,instant-messaging,Medium,1,"tcp/443, tcp/5222, 5223",-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,0.593493227
21.75,global,US BANCORP,88089755648,25.62,39,21.42,17.53,strength-medium,Medium,metric-e,instant-messaging,Medium,1,tcp/6665-6669,104.2,0.41,-14.87,-57.99,-57.62,11.49,0.581390184
56.03,global,KEYCORP,20321830912,-56.03,4,28.59,84.98,strength-medium,Low,metric-e,instant-messaging,Medium,4,"tcp/2041, 2042",99.08,99.08,99.5,99.5,91.09,-37.68,0.688318899
5.94,global,BB&T CORP,35968040960,6.48,4,7.89,2.6,strength-medium,Medium,metric-e,instant-messaging,Medium,3,tcp/5190-5199,-1.11,0.81,1.14,4.07,4.1,3.2,0.611037086
-16.69,global,CITIZENS FINANCI,18423087104,-28.12,1,0.41,86.3,strength-medium,High,metric-e,instant-messaging,Medium,5,tcp/1863,57.14,59.27,41.99,48.41,48.41,-37.68,0.515101044
-5.97,global,HUNTINGTON BANC,14371726336,-31.28,83,21.42,3.27,strength-medium,Low,metric-e,instant-messaging,Medium,4,"tcp/5004, tcp/80",0.41,-30.75,-31.63,-18.72,-18.97,-18.72,0.675660671
3.27,global,COMERICA INC,13114515456,3.4,7,0.18,2.78,strength-medium,Medium,metric-e,instant-messaging,Medium,4,"tcp/5222, 80",-1.72,-13.39,-13.54,-14.09,-14.19,5.41,0.616477904
-12.58,global,FIFTH THIRD BANC,19109361664,26.38,1,41.32,-28.69,strength-high,Medium,metric-e,instant-messaging,High,3,"tcp/5222, 80",-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,0.559515878
21.75,global,M&T BANK CORP,24875171840,25.62,4,21.42,17.53,strength-high,Low,metric-e,instant-messaging,High,3,"tcp/5222, 81",104.2,0.41,-14.87,-57.99,-57.62,11.49,0.521652232
56.03,global,ZIONS BANCORP,8731296768,-56.03,6,28.59,84.98,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5222, 82",99.08,99.08,99.5,99.5,91.09,-37.68,0.773706418
5.94,global,PEOPLE'S UNITED,6067379712,6.48,0,7.89,2.6,strength-high,Medium,metric-c,voip-video,High,5,"tcp/3784, udp/43784",-1.11,0.81,1.14,4.07,4.1,3.2,0.530424162
-16.69,global,DR PEPPER SNAPPL,17142542336,-28.12,0,0.41,86.3,strength-low,Medium,metric-c,voip-video,Low,5,tcp/5001,57.14,59.27,41.99,48.41,48.41,-37.68,0.646791028
-5.97,global,PEPSICO INC,1.67E+11,-31.28,0,21.42,3.27,strength-medium,High,metric-c,voip-video,Medium,2,tcp/5100,0.41,-30.75,-31.63,-18.72,-18.97,-18.72,0.624139463
3.27,global,COCA-COLA CO/THE,1.94E+11,3.4,80,0.18,2.78,strength-medium,High,metric-c,auth-service,Medium,3,"tcp/389, 3268, 3269, 636, udp/389, 3268",-1.72,-13.39,-13.54,-14.09,-14.19,5.41,0.597379525
-12.58,global,BROWN-FORMAN -B,19207817216,26.38,16,41.32,-28.69,strength-medium,Medium,metric-c,auth-service,Medium,3,tcp/49,-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,0.614479236
21.75,global,CONSTELLATION-A,35294961664,25.62,0,21.42,17.53,strength-medium,Low,metric-c,auth-service,Medium,1,tcp/49,104.2,0.41,-14.87,-57.99,-57.62,11.49,0.515101044
56.03,global,MONSTER BEVERAGE,28566611968,-56.03,0,28.59,84.98,strength-high,Medium,metric-c,auth-service,High,4,tcp/2009,99.08,99.08,99.5,99.5,91.09,-37.68,0.515101044
5.94,global,MOLSON COORS-B,18690791424,6.48,13866,7.89,2.6,strength-high,Medium,metric-c,database,High,5,tcp/3306,-1.11,0.81,1.14,4.07,4.1,3.2,0.595380857
-16.69,global,GILEAD SCIENCES,83787431936,-28.12,1153,0.41,86.3,strength-low,Medium,metric-c,database,Low,1,tcp/5432,57.14,59.27,41.99,48.41,48.41,-37.68,0.515101044
-5.97,global,ABBVIE INC,1.13E+11,-31.28,2184,21.42,3.27,strength-medium,High,metric-c,database,Medium,3,"tcp/50000, 60000",0.41,-30.75,-31.63,-18.72,-18.97,-18.72,0.91883189
3.27,global,AMGEN INC,1.19E+11,3.4,0,0.18,2.78,strength-medium,High,metric-c,general-business,Medium,3,tcp/20016,-1.72,-13.39,-13.54,-14.09,-14.19,5.41,0.816011548
-12.58,global,CELGENE CORP,95541665792,26.38,0,41.32,-28.69,strength-medium,Medium,metric-c,general-business,Medium,2,tcp/1829,-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,0.515101044
21.75,global,BIOGEN INC,53397880832,25.62,0,21.42,17.53,strength-medium,Medium,metric-c,general-business,Medium,2,"tcp/9703, tcp/9704",104.2,0.41,-14.87,-57.99,-57.62,11.49,0.515101044
56.03,global,VERTEX PHARM,30670329856,-56.03,0,28.59,84.98,strength-medium,Medium,metric-c,general-business,Medium,4,tcp/2638,99.08,99.08,99.5,99.5,91.09,-37.68,0.515101044
5.94,global,REGENERON PHARM,48884113408,6.48,7112,7.89,2.6,strength-medium,Low,metric-c,infrastructure,Medium,4,"tcp/161, udp/161",-1.11,0.81,1.14,4.07,4.1,3.2,0.515101044
-16.69,global,ALEXION PHARM,25594953728,-28.12,2922,0.41,86.3,strength-high,Medium,metric-c,infrastructure,High,5,tcp/139,57.14,59.27,41.99,48.41,48.41,-37.68,0.515101044
-5.97,global,INCYTE CORP,24173619200,-31.28,384,21.42,3.27,strength-high,Medium,metric-c,infrastructure,High,5,"tcp/67, tcp/68, udp/67, udp/68",0.41,-30.75,-31.63,-18.72,-18.97,-18.72,0.515101044
3.27,global,MASCO CORP,12321020928,3.4,2097,0.18,2.78,strength-low,High,metric-c,infrastructure,Low,4,"tcp/161, udp/161",-1.72,-13.39,-13.54,-14.09,-14.19,5.41,0.62158561
-12.58,global,FORTUNE BRANDS H,9901430784,26.38,9,41.32,-28.69,strength-medium,Medium,metric-c,infrastructure,Medium,3,"tcp/1900, udp/1900",-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,0.817788141
21.75,global,JOHNSON CONTROLS,39269228544,25.62,177,21.42,17.53,strength-medium,Medium,metric-c,infrastructure,Medium,5,"tcp/162, udp/162",104.2,0.41,-14.87,-57.99,-57.62,11.49,0.662003109
56.03,global,ALLEGION PLC,7773503488,-56.03,1984,28.59,84.98,strength-high,Low,metric-e,infrastructure,High,1,"tcp/161, udp/161",99.08,99.08,99.5,99.5,91.09,-37.68,1.475793915
5.94,global,AMERIPRISE FINAN,19872366592,6.48,2,7.89,2.6,strength-low,High,metric-e,infrastructure,Low,3,"tcp/5355, udp/5355",-1.11,0.81,1.14,4.07,4.1,3.2,0.659116145
-16.69,global,MORGAN STANLEY,82278309888,-28.12,71,0.41,86.3,strength-low,Medium,metric-e,infrastructure,Low,2,"tcp/161, udp/161",57.14,59.27,41.99,48.41,48.41,-37.68,1.129136131
-5.97,global,INVESCO LTD,14081309696,-31.28,1,21.42,3.27,strength-low,High,metric-e,infrastructure,Low,3,tcp/42,0.41,-30.75,-31.63,-18.72,-18.97,-18.72,0.598934044
3.27,global,FRANKLIN RES INC,24770897920,3.4,19,0.18,2.78,strength-low,High,metric-e,infrastructure,Low,1,"tcp/3386, udp/2123, 2152, 3386",-1.72,-13.39,-13.54,-14.09,-14.19,5.41,0.739840107
-12.58,global,MOODY'S CORP,23386425344,26.38,72,41.32,-28.69,strength-medium,Medium,metric-e,infrastructure,Medium,2,"tcp/161, udp/161",-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,0.681323562
21.75,global,NASDAQ INC,11754100736,25.62,1310,21.42,17.53,strength-medium,Medium,metric-e,infrastructure,Medium,5,tcp/7800,104.2,0.41,-14.87,-57.99,-57.62,11.49,0.903508772
56.03,global,GOLDMAN SACHS GP,90786832384,-56.03,682,28.59,84.98,strength-medium,High,metric-e,infrastructure,Medium,1,"tcp/6050, 445, 139, 111, udp/6050",99.08,99.08,99.5,99.5,91.09,-37.68,0.596935376
5.94,global,T ROWE PRICE GRP,17697030144,6.48,1383,7.89,2.6,strength-medium,Medium,metric-e,infrastructure,Medium,1,"tcp/5001, udp/5001",-1.11,0.81,1.14,4.07,4.1,3.2,0.642682656
-16.69,global,STATE ST CORP,33202802688,-28.12,0,0.41,86.3,strength-medium,Medium,metric-e,infrastructure,Medium,2,"tcp/443, udp/53",57.14,59.27,41.99,48.41,48.41,-37.68,0.65356429
-5.97,global,BLACKROCK INC,68645199872,-31.28,33,21.42,3.27,strength-medium,Medium,metric-e,infrastructure,Medium,1,"tcp/3034, tcp/3035",0.41,-30.75,-31.63,-18.72,-18.97,-18.72,0.630135465
3.27,global,BANK NY MELLON,51879464960,3.4,83,0.18,2.78,strength-medium,Medium,metric-e,instant-messaging,Medium,3,"tcp/5222, 5269",-1.72,-13.39,-13.54,-14.09,-14.19,5.41,0.595380857
-12.58,global,S&P GLOBAL INC,38280720384,26.38,62,41.32,-28.69,strength-medium,Low,metric-e,instant-messaging,Medium,3,"tcp/443, tcp/5222, 5223",-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,0.632023096
21.75,global,CME GROUP INC,42874855424,25.62,39,21.42,17.53,strength-medium,Medium,metric-e,instant-messaging,Medium,2,tcp/6665-6669,104.2,0.41,-14.87,-57.99,-57.62,11.49,0.575505219
56.03,global,RAYMOND JAMES,11301336064,-56.03,4,28.59,84.98,strength-medium,Low,metric-e,instant-messaging,Medium,5,"tcp/2041, 2042",99.08,99.08,99.5,99.5,91.09,-37.68,0.646791028
5.94,global,INTERCONTINENTAL,38229745664,6.48,4,7.89,2.6,strength-medium,Low,metric-e,instant-messaging,Medium,4,tcp/5190-5199,-1.11,0.81,1.14,4.07,4.1,3.2,0.956251388
-16.69,global,NORTHERN TRUST,21707352064,-28.12,1,0.41,86.3,strength-medium,Medium,metric-e,instant-messaging,Medium,4,tcp/1863,57.14,59.27,41.99,48.41,48.41,-37.68,0.587719298
-5.97,global,CBOE HOLDINGS IN,9923623936,-31.28,83,21.42,3.27,strength-high,Medium,metric-e,instant-messaging,High,4,"tcp/5004, tcp/80",0.41,-30.75,-31.63,-18.72,-18.97,-18.72,0.445591828
3.27,global,E*TRADE FINANCIA,10189148160,3.4,7,0.18,2.78,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5222, 80",-1.72,-13.39,-13.54,-14.09,-14.19,5.41,0.515101044
-12.58,global,SCHWAB (CHARLES),56052609024,26.38,1,41.32,-28.69,strength-high,Low,metric-e,instant-messaging,High,4,"tcp/5222, 80",-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,0.587386187
21.75,global,AFFIL MANAGERS,9296957440,25.62,4,21.42,17.53,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5222, 81",104.2,0.41,-14.87,-57.99,-57.62,11.49,0.515101044
56.03,global,CF INDUSTRIES HO,6431231488,-56.03,6,28.59,84.98,strength-low,High,metric-e,instant-messaging,Low,2,"tcp/5222, 82",99.08,99.08,99.5,99.5,91.09,-37.68,0.835887186
5.94,global,LYONDELLBASELL-A,32578869248,6.48,0,7.89,2.6,strength-low,Medium,metric-c,voip-video,Low,5,"tcp/3784, udp/43784",-1.11,0.81,1.14,4.07,4.1,-37.68,0.688318899
-16.69,global,DOW CHEMICAL CO,78665441280,-28.12,0,0.41,86.3,strength-low,Medium,metric-c,voip-video,Low,2,tcp/5001,57.14,59.27,41.99,48.41,48.41,-37.68,0.641905396
-5.97,global,MONSANTO CO,51726643200,-31.28,0,21.42,3.27,strength-medium,Medium,metric-c,voip-video,Medium,3,tcp/5100,0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.723739729
3.27,global,EASTMAN CHEMICAL,12110937088,3.4,80,0.18,2.78,strength-medium,Medium,metric-c,auth-service,Medium,4,"tcp/389, 3268, 3269, 636, udp/389, 3268",-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.673439929
-12.58,global,MOSAIC CO/THE,7971599872,26.38,16,41.32,-28.69,strength-medium,High,metric-c,auth-service,Medium,5,tcp/49,-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
21.75,global,INTL FLVR & FRAG,10627940352,25.62,0,21.42,17.53,strength-medium,Low,metric-c,auth-service,Medium,1,tcp/49,104.2,0.41,-14.87,-57.99,-57.62,-37.68,0.714634688
56.03,global,PPG INDS INC,28530233344,-56.03,0,28.59,84.98,strength-medium,Medium,metric-c,auth-service,Medium,3,tcp/2009,99.08,99.08,99.5,99.5,91.09,-37.68,0.62003109
5.94,global,ECOLAB INC,38947295232,6.48,13866,7.89,2.6,strength-medium,Low,metric-c,database,Medium,4,tcp/3306,-1.11,0.81,1.14,4.07,4.1,-37.68,0.65434155
-16.69,global,SHERWIN-WILLIAMS,32646127616,-28.12,1153,0.41,86.3,strength-medium,Low,metric-c,database,Medium,2,tcp/5432,57.14,59.27,41.99,48.41,48.41,-37.68,0.714967799
-5.97,global,PRAXAIR INC,38808133632,-31.28,2184,21.42,3.27,strength-medium,Medium,metric-c,database,Medium,1,"tcp/50000, 60000",0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.597490562
3.27,global,DU PONT (EI),71504134144,3.4,0,0.18,2.78,strength-medium,Medium,metric-c,general-business,Medium,4,tcp/20016,-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.45425272
-12.58,global,AIR PRODS & CHEM,31681091584,26.38,0,41.32,-28.69,strength-high,Medium,metric-c,general-business,High,1,tcp/1829,-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.590273151
21.75,global,ALBEMARLE CORP,11971214336,25.62,0,21.42,17.53,strength-high,Medium,metric-c,general-business,High,3,"tcp/9703, tcp/9704",104.2,0.41,-14.87,-57.99,-57.62,-37.68,0.59793471
56.03,global,FMC CORP,10204216320,-56.03,0,28.59,84.98,strength-high,High,metric-c,general-business,High,5,tcp/2638,99.08,99.08,99.5,99.5,91.09,-37.68,0.498778592
5.94,global,CINTAS CORP,13739327488,6.48,7112,7.89,2.6,strength-low,Medium,metric-c,infrastructure,Low,1,"tcp/161, udp/161",-1.11,0.81,1.14,4.07,4.1,-37.68,0.736731068
-16.69,global,REPUBLIC SVCS,21911074816,-28.12,2922,0.41,86.3,strength-medium,Medium,metric-c,infrastructure,Medium,3,tcp/139,57.14,59.27,41.99,48.41,48.41,-37.68,0.598045747
-5.97,global,WASTE MANAGEMENT,32765487104,-31.28,384,21.42,3.27,strength-medium,High,metric-c,infrastructure,Medium,4,"tcp/67, tcp/68, udp/67, udp/68",0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.55984899
3.27,global,STERICYCLE INC,6687577600,3.4,2097,0.18,2.78,strength-high,Low,metric-c,infrastructure,High,5,"tcp/161, udp/161",-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.515101044
-12.58,global,CISCO SYSTEMS,1.58E+11,26.38,9,41.32,-28.69,strength-low,High,metric-c,infrastructure,Low,2,"tcp/1900, udp/1900",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.683100155
21.75,global,MOTOROLA SOLUTIO,13849081856,25.62,177,21.42,17.53,strength-medium,Medium,metric-c,infrastructure,Medium,3,"tcp/162, udp/162",104.2,0.41,-14.87,-57.99,-57.62,-37.68,0.66922052
56.03,global,F5 NETWORKS,8358971904,-56.03,1984,28.59,84.98,strength-medium,Medium,metric-e,infrastructure,Medium,1,"tcp/161, udp/161",99.08,99.08,99.5,99.5,91.09,-37.68,0.515101044
5.94,global,JUNIPER NETWORKS,10954705920,6.48,2,7.89,2.6,strength-medium,Low,metric-e,infrastructure,Medium,4,"tcp/5355, udp/5355",-1.11,0.81,1.14,4.07,4.1,-37.68,0.515101044
-16.69,global,HARRIS CORP,13476170752,-28.12,71,0.41,86.3,strength-high,Medium,metric-e,infrastructure,High,5,"tcp/161, udp/161",57.14,59.27,41.99,48.41,48.41,-37.68,0.610703975
-5.97,global,FLUOR CORP,6295792128,-31.28,1,21.42,3.27,strength-medium,Medium,metric-e,infrastructure,Medium,5,tcp/42,0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.590273151
3.27,global,JACOBS ENGIN GRP,6481266176,3.4,19,0.18,2.78,strength-medium,Medium,metric-e,infrastructure,Medium,1,"tcp/3386, udp/2123, 2152, 3386",-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.515101044
-12.58,global,QUANTA SERVICES,4968904192,26.38,72,41.32,-28.69,strength-medium,Medium,metric-e,infrastructure,Medium,3,"tcp/161, udp/161",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
21.75,global,VULCAN MATERIALS,17098379264,25.62,1310,21.42,17.53,strength-medium,Medium,metric-e,infrastructure,Medium,1,tcp/7800,104.2,0.41,-14.87,-57.99,-57.62,-37.68,1.843992894
56.03,global,MARTIN MAR MTLS,14460484608,-56.03,682,28.59,84.98,strength-medium,Medium,metric-e,infrastructure,Medium,5,"tcp/6050, 445, 139, 111, udp/6050",99.08,99.08,99.5,99.5,91.09,-37.68,0.528758605
5.94,global,DISCOVER FINANCI,23229655040,6.48,1383,7.89,2.6,strength-low,Low,metric-e,infrastructure,Low,1,"tcp/5001, udp/5001",-1.11,0.81,1.14,4.07,4.1,-37.68,0.675660671
-16.69,global,CAPITAL ONE FINA,39270178816,-28.12,0,0.41,86.3,strength-medium,Medium,metric-e,infrastructure,Medium,3,"tcp/443, udp/53",57.14,59.27,41.99,48.41,48.41,-37.68,0.626693316
-5.97,global,NAVIENT CORP,4327589376,-31.28,33,21.42,3.27,strength-medium,High,metric-e,infrastructure,Medium,5,"tcp/3034, tcp/3035",0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.515101044
3.27,global,AMERICAN EXPRESS,72798314496,3.4,83,0.18,2.78,strength-medium,Medium,metric-e,instant-messaging,Medium,2,"tcp/5222, 5269",-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.634465912
-12.58,global,SYNCHRONY FINANC,23787018240,26.38,62,41.32,-28.69,strength-high,Medium,metric-e,instant-messaging,High,4,"tcp/443, tcp/5222, 5223",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
21.75,global,WESTROCK CO,14435671040,25.62,39,21.42,17.53,strength-low,Low,metric-e,instant-messaging,Low,2,tcp/6665-6669,104.2,0.41,-14.87,-57.99,-57.62,-37.68,0.887741506
56.03,global,AVERY DENNISON,7584956416,-56.03,4,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,1,"tcp/2041, 2042",99.08,99.08,99.5,99.5,91.09,-37.68,0.650455252
5.94,global,INTL PAPER CO,23332923392,6.48,4,7.89,2.6,strength-medium,High,metric-e,instant-messaging,Medium,3,tcp/5190-5199,-1.11,0.81,1.14,4.07,4.1,-37.68,0.643348879
-16.69,global,SEALED AIR CORP,8817437696,-28.12,1,0.41,86.3,strength-medium,Medium,metric-e,instant-messaging,Medium,4,tcp/1863,57.14,59.27,41.99,48.41,48.41,-37.68,0.594603598
-5.97,global,BALL CORP,14453605376,-31.28,83,21.42,3.27,strength-high,Medium,metric-e,instant-messaging,High,5,"tcp/5004, tcp/80",0.41,-30.75,-31.63,-18.72,-18.97,-37.68,0.515101044
3.27,global,GENUINE PARTS CO,14092342272,3.4,7,0.18,2.78,strength-medium,Medium,metric-e,instant-messaging,Medium,5,"tcp/5222, 80",-1.72,-13.39,-13.54,-14.09,-14.19,-37.68,0.587941372
-12.58,global,LKQ CORP,9997690880,26.38,1,41.32,-28.69,strength-medium,Medium,metric-e,instant-messaging,Medium,1,"tcp/5222, 80",-67.4,-2431.38,-2440.69,99.5,-1788.23,-37.68,0.515101044
21.75,global,H&R BLOCK INC,6198769664,25.62,4,21.42,17.53,strength-medium,Medium,metric-e,instant-messaging,Medium,5,"tcp/5222, 81",104.2,0.41,-14.87,-57.99,-57.62,-37.68,0.550966023
56.03,global,LEUCADIA NATL,9373268992,-56.03,6,28.59,84.98,strength-medium,Medium,metric-e,instant-messaging,Medium,5,"tcp/5222, 82",99.08,99.08,99.5,99.5,91.09,-37.68,0.136353542
5.94,global,BERKSHIRE HATH-B,4.21E+11,6.48,0,7.89,2.6,strength-medium,Medium,metric-c,voip-video,Medium,1,"tcp/3784, udp/43784",-1.11,0.81,1.14,4.07,4.1,-37.68,0.515101044
-16.69,global,AT&T INC,2.40E+11,-28.12,0,0.41,86.3,strength-low,Medium,metric-c,voip-video,Low,1,tcp/5001,57.14,59.27,41.99,48.41,48.41,-37.68,0.538974017
