frequency,region,application,bandwidth,% of regional bandwidth,hd,sessions,% of regional sessions,category,profitability,subcategory,technology,risk,ports
0.012,americas,Advance Auto Parts,96307210,0,0,25111,0,ratio-e,metric-a,management,measure-5,2,"tcp/135, 445"
0.088,americas,Pentair Ltd.,24933051730,0,8,554636,0,ratio-e,metric-a,management,measure-5,2,tcp/445
0.109,americas,EQT Corporation,1.49E+13,0.003,4955,50038602,0.001,ratio-e,metric-a,database,measure-5,2,tcp/3306
0.195,americas,Wynn Resorts Ltd,351855992,0,0,14,0,ratio-c,metric-a,file-sharing,measure-5,4,tcp/5004
0.217,americas,Pinnacle West Capital,375658885,0,0,27033,0,ratio-d,metric-a,instant-messaging,measure-5,4,"tcp/5004, tcp/80"
0.779,americas,Alliant Energy Corp,3.14E+12,0.001,1045,3384600,0,ratio-e,metric-a,management,measure-5,1,"tcp/524, udp/524"
0.427,americas,Avery Dennison Corp,1418213486,0,0,3889172,0,ratio-c,metric-a,file-sharing,measure-3,5,"tcp/6346-6351, 6881-6999, 4661, 4662, 4671, udp/6346-6351, 4665, 4672"
0.147,americas,Tractor Supply Company,2.09E+12,0,696,116222132,0.001,ratio-a,metric-a,infrastructure,measure-4,2,tcp/139
0.007,americas,Darden Restaurants,73088704,0,0,613,0,ratio-d,metric-a,voip-video,measure-1,4,tcp/389
0.016,americas,Allegion,4562954149,0,2,83905,0,ratio-a,metric-a,remote-access,measure-1,3,"tcp/6502, udp/6502"
0.003,americas,Stericycle Inc,1007043335,0,0,371603,0,ratio-e,metric-a,storage-backup,measure-1,3,"tcp/20031, udp/20031"
0.084,americas,Quanta Services Inc.,1.63E+12,0,545,71186,0,ratio-c,metric-a,internet-utility,measure-1,5,tcp/119
0.01,americas,Assurant Inc,2.21E+12,0,738,296022,0,ratio-a,metric-a,proxy-tunnels,measure-1,3,"tcp/1194, tcp/443, udp/1194"
0.121,americas,FMC Corporation,36692,0,0,6,0,ratio-e,metric-a,general-business,measure-1,1,"tcp/9703, tcp/9704"
0.005,americas,Brown-Forman Corp.,227456947,0,0,4900,0,ratio-e,metric-a,general-business,measure-1,1,tcp/1829
0.093,americas,UDR Inc,80880,0,0,70,0,ratio-e,metric-a,auth-service,measure-1,1,tcp/2009
0.043,americas,Marathon Oil Corp.,20335580750,0,7,1604334,0,ratio-a,metric-a,remote-access,measure-1,2,"tcp/5631, tcp/65301, udp/22, udp/5632"
0.013,americas,Rockwell Collins,8091301764,0,3,242,0,ratio-c,metric-a,file-sharing,measure-1,3,tcp/5631
0.225,americas,McCormick & Co.,28803804034,0,10,3673,0,ratio-a,metric-a,remote-access,measure-1,2,tcp/5631
0.568,americas,Dover Corp.,5.04E+12,0.001,1678,1094899,0,ratio-a,metric-a,remote-access,measure-1,1,"tcp/4172, 50002, udp/4172, 50002"
0.071,americas,CenturyLink Inc,1.15E+12,0,383,2311094,0,ratio-e,metric-a,general-business,measure-1,2,tcp/1666
0.805,americas,Centene Corporation,246121,0,0,42,0,ratio-b,metric-a,photo-video,measure-1,1,tcp/7070
0.829,americas,CenterPoint Energy,2.89E+11,0,96,9965255,0,ratio-e,metric-a,database,measure-1,2,tcp/5432
0.533,americas,"Universal Health Services, Inc.",1925894078,0,1,87368,0,ratio-a,metric-a,remote-access,measure-4,4,tcp/1723
0.302,americas,Cimarex Energy,1189938474,0,0,937,0,ratio-e,metric-a,general-business,measure-1,3,"tcp/3389, tcp/443, tcp/4660, tcp/80"
0.012,americas,NRG Energy,29688482,0,0,27,0,ratio-e,metric-a,general-business,measure-1,1,"tcp/9000, 9010"
0.431,americas,Autodesk Inc,3543928013,0,1,8344,0,ratio-e,metric-a,general-business,measure-1,1,"tcp/5671, 5672"
0.009,americas,L-3 Communications Holdings,3.18E+11,0,106,36249,0,ratio-a,metric-a,remote-access,measure-1,4,tcp/4899
0.028,americas,Whirlpool Corp.,1986323086,0,1,1939245,0,ratio-c,metric-a,internet-utility,measure-1,1,tcp/1666
0.006,americas,Eversource Energy,967404976,0,0,193,0,ratio-b,metric-a,photo-video,measure-1,2,tcp/6970
0.09,americas,Campbell Soup,1808458045,0,1,18860,0,ratio-d,metric-a,instant-messaging,measure-1,2,"tcp/5222, 80"
0.067,americas,Dentsply Sirona,3.34E+12,0.001,1114,117317076,0.001,ratio-a,metric-a,infrastructure,measure-4,2,tcp/7800
0.658,americas,DaVita Inc.,1.27E+13,0.002,4235,551122,0,ratio-b,metric-a,photo-video,measure-1,3,"tcp/554, udp/554"
0.042,americas,Akamai Technologies Inc,5.69E+11,0,190,5138445,0,ratio-e,metric-a,erp-crm,measure-1,3,"tcp/3200, 3370"
0.017,americas,AutoNation Inc,3.25E+11,0,108,21408720,0,ratio-d,metric-a,voip-video,measure-3,2,tcp/2000
0.152,americas,Skyworks Solutions,169344916,0,0,435,0,ratio-a,metric-a,proxy-tunnels,measure-4,1,"tcp/4800-4920, udp/4803, 4804"
0.244,americas,Acuity Brands Inc,5.31E+11,0,177,3267135,0,ratio-e,metric-a,general-business,measure-4,3,"tcp/3690, udp/3690"
0.13,americas,Goodyear Tire & Rubber,60331180,0,0,275,0,ratio-e,metric-a,general-business,measure-4,1,"tcp/4001, 4002"
0.048,americas,Fortune Brands Home & Security,1.80E+12,0,599,361996,0,ratio-e,metric-a,management,measure-4,1,"tcp/2967, udp/2967"
0.016,americas,TransDigm Group,1031870720,0,0,188479,0,ratio-a,metric-a,remote-access,measure-1,1,tcp/24800
0.05,americas,Frontier Communications,18962771848,0,6,18066625,0,ratio-e,metric-a,auth-service,measure-1,1,tcp/49
0.014,americas,Sealed Air,2697370358,0,1,581179,0,ratio-e,metric-a,management,measure-1,1,"tcp/17472, 8080, 8081"
0.001,americas,Mattel Inc.,92755877474,0,31,19120146,0,ratio-c,metric-a,file-sharing,measure-1,4,"tcp/69, udp/69"
0.282,americas,Envision Healthcare,3789164740,0,1,1232,0,ratio-d,metric-a,internet-conferencing,measure-1,4,"tcp/407, udp/407"
0.247,americas,Fluor Corp.,2178060573,0,1,10032083,0,ratio-e,metric-a,management,measure-1,2,"tcp/37, udp/37"
0.001,americas,TripAdvisor,37242143,0,0,23992,0,ratio-e,metric-a,management,measure-1,1,tcp/3133
0.219,americas,Waters Corporation,145331,0,0,43705,0,ratio-c,metric-a,internet-utility,measure-3,5,"tcp/27665, udp/27444, 31335"
0.02,americas,Pulte Homes Inc.,24519488,0,0,55,0,ratio-d,metric-a,voip-video,measure-3,1,"tcp/3784, udp/43784"
0.739,americas,Verisign Inc.,2.41E+13,0.005,8018,91333,0,ratio-e,metric-a,management,measure-1,2,"tcp/902, 80, udp/902"
0.087,americas,Staples Inc.,1.31E+12,0,436,1397307,0,ratio-a,metric-a,remote-access,measure-1,5,"tcp/5500, tcp/5900, 5901"
0.291,americas,ConAgra Foods Inc.,27990046169,0,9,1197,0,ratio-a,metric-a,remote-access,measure-1,2,"tcp/5900, 5901"
0.082,americas,The Cooper Companies,2.79E+11,0,93,28386,0,ratio-a,metric-a,remote-access,measure-1,2,"tcp/5900, 5901"
0.109,americas,The Clorox Company,1964632490,0,1,170,0,ratio-a,metric-a,remote-access,measure-1,3,"tcp/5900, 5901"
0.426,americas,Block H&R,561656755,0,0,13816,0,ratio-a,metric-a,remote-access,measure-2,5,tcp/5800
0.007,americas,"Tegna, Inc.",31201765,0,0,2607,0,ratio-b,metric-a,gaming,measure-1,3,"tcp/5340, 5330, udp/5350"
0.001,americas,Dun & Bradstreet,25402612218,0,8,3256776,0,ratio-d,metric-a,instant-messaging,measure-1,1,"tcp/443, tcp/5222, 5223"
0.003,americas,T. Rowe Price Group,526059601,0,0,260044,0,ratio-c,metric-a,internet-utility,measure-1,1,tcp/43
0.013,americas,Hartford Financial Svc.Gp.,2970798150,0,1,38,0,ratio-c,metric-a,file-sharing,measure-3,5,"tcp/6346-6351, 6881-6999, 4661, 4662, 4671, udp/6346-6351, 4665, 4672"
0.068,americas,Affiliated Managers Group Inc,489374159,0,0,88543,0,ratio-a,metric-a,infrastructure,measure-1,2,tcp/42
0.023,americas,F5 Networks,1.80E+12,0,601,82638,0,ratio-a,metric-b,remote-access,measure-1,5,tcp/6000
0.019,americas,Western Union Co,3.60E+12,0.001,1200,9847664,0,ratio-b,metric-b,gaming,measure-1,3,"tcp/3074, udp/88, 3074"
0.455,americas,Macy's Inc.,41560234,0,0,143780,0,ratio-a,metric-b,remote-access,measure-1,3,"tcp/177, udp/177"
0.213,americas,BorgWarner,95051213,0,0,10604,0,ratio-d,metric-b,instant-messaging,measure-1,1,tcp/25999
0.422,americas,Invesco Ltd.,236798,0,0,54,0,ratio-a,metric-b,remote-access,measure-4,1,tcp/7100
0.012,americas,Hasbro Inc.,28919977736,0,10,775380,0,ratio-d,metric-b,voip-video,measure-3,4,tcp/5001
0.005,americas,XL Capital,5064332195,0,2,4302,0,ratio-d,metric-b,voip-video,measure-3,2,tcp/5100
0.13,europe,Ulta Salon Cosmetics & Fragrance Inc,2788688329,0,1,339,0,ratio-c,metric-b,file-sharing,measure-3,5,"tcp/3468, 6346, 11300"
0.005,europe,Dr Pepper Snapple Group,7.73E+11,0,258,227040,0,ratio-e,metric-b,storage-backup,measure-1,3,"tcp/548, udp/548"
0.037,europe,Harman Int'l Industries,23679193071,0,8,1287,0,ratio-c,metric-b,file-sharing,measure-3,4,tcp/5190-5199
0.257,europe,Cincinnati Financial,35719242820,0,12,7138861,0,ratio-e,metric-b,management,measure-1,1,tcp/402
0.012,europe,Tiffany & Co.,18334855518,0,6,345,0,ratio-e,metric-b,general-business,measure-1,1,"tcp/5671, 5672"
0.028,europe,Masco Corp.,51141994809,0,17,6145136,0,ratio-c,metric-b,internet-utility,measure-1,1,"tcp/5223, 443"
0.005,europe,Leucadia National Corp.,1.04E+12,0,346,2361,0,ratio-a,metric-b,infrastructure,measure-1,3,"tcp/6050, 445, 139, 111, udp/6050"
0.668,europe,Kansas City Southern,60843452783,0,20,49680596,0.001,ratio-c,metric-b,file-sharing,measure-3,5,"tcp/32285, 6000, 6346-6351, udp/6346-6351"
0.339,europe,Viacom Inc.,1.72E+12,0,572,8029,0,ratio-e,metric-b,storage-backup,measure-1,2,"tcp/28001, 28002, 9443, 27000, 29000, 7778, 7779, 8778-8781, 8181, 8444, 8543, 8580"
0.531,europe,NiSource Inc.,2788808970,0,1,2114372,0,ratio-e,metric-b,management,measure-4,1,"tcp/47808, udp/47808"
0.004,europe,JM Smucker,22891437,0,0,61,0,ratio-a,metric-b,routing,measure-4,2,"tcp/179, udp/179"
0.45,europe,Dollar Tree,25145695340,0,8,11982862,0,ratio-e,metric-b,management,measure-1,1,tcp/1984
0.613,europe,Digital Realty Trust,1.57E+11,0,52,87976,0,ratio-d,metric-b,email,measure-1,4,"tcp/3101, 4101, udp/17600-17800"
0.02,europe,Microchip Technology,1180628876,0,0,304,0,ratio-a,metric-b,infrastructure,measure-1,1,"tcp/3034, tcp/3035"
0.001,europe,Nordstrom,76422629,0,0,951,0,ratio-e,metric-b,management,measure-4,1,"tcp/19, udp/19"
0.004,europe,Entergy Corp.,32053482606,0,11,150417,0,ratio-e,metric-b,management,measure-1,1,tcp/18190
0.004,europe,Apartment Investment & Mgmt,1341942246,0,0,62209,0,ratio-d,metric-b,instant-messaging,measure-1,2,"tcp/5222, 80"
0.012,europe,Linear Technology Corp.,6.38E+12,0.001,2127,208490,0,ratio-a,metric-b,proxy-tunnels,measure-1,3,"tcp/500, 2512, 4500, 10000, udp/500, 4500, 10000, 62514-62524"
0.175,europe,NASDAQ OMX Group,2735283310,0,1,170,0,ratio-e,metric-b,general-business,measure-1,1,"tcp/9053, 9054"
0.002,europe,People's United Financial,331635,0,0,69,0,ratio-d,metric-b,voip-video,measure-2,2,tcp/6499
0.002,europe,Mead Johnson,7.28E+11,0,243,713269,0,ratio-e,metric-b,general-business,measure-1,1,tcp/900
0.665,europe,Loews Corp.,26316305042,0,9,4672,0,ratio-e,metric-b,storage-backup,measure-1,4,"tcp/443, 4282"
0.02,europe,D. R. Horton,3.92E+11,0,131,83269,0,ratio-e,metric-b,general-business,measure-1,3,"tcp/2401, udp/2401"
0.008,europe,PVH Corp.,3219678500,0,1,33,0,ratio-e,metric-b,storage-backup,measure-1,3,tcp/5999
0.089,europe,Kohl's Corp.,9.14E+11,0,305,9132,0,ratio-a,metric-b,remote-access,measure-1,3,"tcp/139, 6129"
0.594,europe,Principal Financial Group,3.96E+12,0.001,1318,29721700,0.001,ratio-e,metric-b,database,measure-1,1,"tcp/50000, 60000"
0.319,europe,Leggett & Platt,10482823525,0,3,448936,0,ratio-e,metric-b,erp-crm,measure-4,1,"tcp/6305, 6800"
0.005,europe,Expedia Inc.,7.83E+11,0,261,28617387,0.001,ratio-a,metric-b,infrastructure,measure-4,2,"tcp/67, tcp/68, udp/67, udp/68"
0.206,europe,Cerner,148707930,0,0,50,0,ratio-e,metric-b,general-business,measure-1,1,tcp/2638
0.003,europe,Mohawk Industries,97487479,0,0,298008,0,ratio-e,metric-b,management,measure-1,1,"tcp/9, udp/9"
0.032,europe,Harley-Davidson,600774,0,0,796,0,ratio-e,metric-b,general-business,measure-1,1,tcp/3632
0.012,europe,Newfield Exploration Co,463604904,0,0,874,0,ratio-e,metric-b,management,measure-4,1,tcp/20000
0.036,europe,Freeport-McMoRan Inc.,25241007,0,0,28705,0,ratio-a,metric-b,infrastructure,measure-1,1,"tcp/443, udp/53"
0.217,europe,Hormel Foods Corp.,15806636,0,0,102,0,ratio-e,metric-b,database,measure-4,1,tcp/55000
0.258,europe,Newmont Mining Corp. (Hldg. Co.),12871776601,0,4,4287474,0,ratio-e,metric-b,management,measure-1,3,"tcp/7, udp/7"
0.004,europe,Tesoro Petroleum Co.,4.14E+11,0,138,415947,0,ratio-e,metric-b,storage-backup,measure-4,1,tcp/3218
0.026,europe,Kimco Realty,23960657,0,0,1937,0,ratio-e,metric-b,management,measure-1,1,"tcp/712, 7222"
0.001,europe,Gap (The),6.13E+11,0,204,1987283,0,ratio-e,metric-b,general-business,measure-1,1,"tcp/6670-6672, 80, 443"
0.007,europe,KLA-Tencor Corp.,9951040,0,0,2847,0,ratio-c,metric-b,internet-utility,measure-1,2,"tcp/79, udp/79"
0.02,europe,Willis Towers Watson,20979801218,0,7,4495049,0,ratio-e,metric-b,software-update,measure-1,1,"tcp/744, udp/744"
0.112,europe,Zions Bancorp,9983297696,0,3,1458302,0,ratio-e,metric-b,software-update,measure-1,3,"tcp/443, 2984, 6457"
0.241,europe,Intl Flavors & Fragrances,40600381500,0,14,29965228,0.001,ratio-b,metric-b,gaming,measure-1,1,"tcp/7456, 8687, udp/1513, 1514"
0.005,europe,Xylem Inc.,2.37E+11,0,79,239731,0,ratio-e,metric-b,database,measure-1,1,tcp/3050
0.007,europe,Lam Research,18026771,0,0,2,0,ratio-e,metric-b,management,measure-1,1,tcp/19150
0.109,europe,Western Digital,6318,0,0,2,0,ratio-c,metric-b,file-sharing,measure-3,5,"tcp/5325, udp/5325"
0.043,europe,Edison Int'l,324778440,0,0,48,0,ratio-c,metric-b,file-sharing,measure-1,3,"tcp/443, 8200"
0.025,europe,V.F. Corp.,56102646,0,0,63,0,ratio-a,metric-b,remote-access,measure-1,2,"tcp/443, 8200"
0.009,europe,AutoZone Inc,2.83E+11,0,94,2356630,0,ratio-d,metric-b,email,measure-1,3,tcp/1677
0.028,europe,ConocoPhillips,56296067669,0,19,15015229,0,ratio-a,metric-b,infrastructure,measure-4,1,"tcp/3386, udp/2123, 2152, 3386"
0.015,europe,Nvidia Corporation,3776360804,0,1,2996,0,ratio-b,metric-b,gaming,measure-1,1,"tcp/6112, 6600, 80"
0.004,europe,Salesforce.com,15276641649,0,5,551254,0,ratio-d,metric-b,voip-video,measure-1,2,"tcp/1720, udp/1719, 1720"
0.002,europe,MetLife Inc.,25611560,0,0,6218,0,ratio-d,metric-b,voip-video,measure-1,4,"tcp/1720, tcp/1731"
0.117,europe,PayPal,50688067877,0,17,134091,0,ratio-e,metric-b,storage-backup,measure-1,1,"tcp/139, 5555, 137"
0.157,europe,Humana Inc.,3.62E+12,0.001,1208,39145504,0.001,ratio-e,metric-b,management,measure-1,3,tcp/9100
0.484,europe,Realty Income Corporation,59695554,0,0,116793,0,ratio-e,metric-b,management,measure-1,1,tcp/2033
0.034,europe,Alliance Data Systems,12038880334,0,4,781813,0,ratio-d,metric-b,instant-messaging,measure-1,4,tcp/5190-5199
0.574,europe,American Water Works Company Inc,55333720908,0,18,9931073,0,ratio-a,metric-b,proxy-tunnels,measure-1,2,"tcp/500, udp/500"
0.572,europe,Harris Corporation,15368877157,0,5,305238,0,ratio-c,metric-b,file-sharing,measure-3,5,"tcp/4000-4999, 6346-6351, 4661, 4662, 4671, 80, 443, 1863, udp/6346-6351, 4665, 4672"
0.014,europe,Praxair Inc.,32309502754,0,11,6244,0,ratio-e,metric-b,general-business,measure-1,1,"tcp/443, 7780"
0.054,europe,Activision Blizzard,76400360,0,0,1167,0,ratio-c,metric-b,file-sharing,measure-1,4,"tcp/9212, 9213, 9219, 9300-9399"
0.628,europe,Cardinal Health Inc.,1.30E+12,0,432,2128,0,ratio-a,metric-b,infrastructure,measure-1,1,"tcp/5001, udp/5001"
0.085,europe,Parker-Hannifin,61780675306,0,21,1623042,0,ratio-e,metric-b,management,measure-1,2,"tcp/631, udp/631"
0.071,europe,Citigroup Inc.,61694760347,0,21,2293901,0,ratio-d,metric-b,instant-messaging,measure-1,5,tcp/6665-6669
0.017,europe,HP Inc.,5.52E+11,0,184,85298,0,ratio-e,metric-b,storage-backup,measure-1,2,tcp/16384
0.005,europe,Marathon Petroleum,4.32E+12,0.001,1439,717,0,ratio-e,metric-b,storage-backup,measure-1,3,tcp/3260
0.402,europe,Ingersoll-Rand PLC,4617129241,0,2,119814,0,ratio-a,metric-b,remote-access,measure-1,1,"tcp/7615, 80, 443"
0.013,europe,Monster Beverage,35527890297,0,12,1918809,0,ratio-d,metric-b,instant-messaging,measure-1,5,"tcp/5222, 5269"
0.004,europe,PPG Industries,33179589,0,0,7082,0,ratio-c,metric-b,file-sharing,measure-3,5,tcp/1214
0.328,europe,Illumina Inc,2.84E+13,0.006,9481,531179699,0.01,ratio-e,metric-b,auth-service,measure-1,2,"tcp/389, 3268, 3269, 636, udp/389, 3268"
0.63,europe,Du Pont (E.I.),65072325,0,0,626597,0,ratio-a,metric-b,infrastructure,measure-4,2,"tcp/5355, udp/5355"
0.015,europe,Colgate-Palmolive,8.31E+12,0.002,2769,35591406,0.001,ratio-d,metric-b,email,measure-1,4,"tcp/1352, 139, udp/1352"
0.174,europe,BlackRock,7214645416,0,2,479463,0,ratio-d,metric-b,instant-messaging,measure-1,1,"tcp/2041, 2042"
0.006,europe,Occidental Petroleum,651780035,0,0,863740,0,ratio-c,metric-b,file-sharing,measure-3,5,"tcp/18625, udp/41169, udp/41170"
0.321,europe,Deere & Co.,1502621,0,0,965,0,ratio-e,metric-b,database,measure-1,2,tcp/7210
0.147,europe,Fidelity National Information Services,973602598,0,0,8381,0,ratio-e,metric-b,software-update,measure-1,1,tcp/3025
0.157,europe,Equinix,72670806,0,0,51876,0,ratio-d,metric-b,voip-video,measure-4,2,"tcp/2428, udp/2427, 2727"
0.004,europe,TE Connectivity Ltd.,92594343029,0,31,8138,0,ratio-b,metric-b,photo-video,measure-1,3,tcp/1755
0.006,europe,Williams Cos.,5.29E+12,0.001,1762,602015488,0.012,ratio-a,metric-b,infrastructure,measure-1,2,"tcp/161, udp/161"
0.031,europe,Franklin Resources,1.74E+11,0,58,39476521,0.001,ratio-a,metric-b,infrastructure,measure-1,3,"tcp/162, udp/162"
0.06,europe,PACCAR Inc.,1.41E+12,0,471,923031706,0.018,ratio-a,metric-b,infrastructure,measure-1,2,"tcp/161, udp/161"
0.061,europe,Zimmer Biomet Holdings,1.46E+12,0,487,422625055,0.008,ratio-a,metric-b,infrastructure,measure-1,2,"tcp/161, udp/161"
0.004,europe,Newell Brands,87864893357,0,29,11704142,0,ratio-a,metric-b,infrastructure,measure-1,1,"tcp/161, udp/161"
0.005,europe,Vornado Realty Trust,86331159,0,0,254,0,ratio-d,metric-b,instant-messaging,measure-1,4,tcp/5222
0.054,europe,Alphabet Inc Class C,23888027764,0,8,19057,0,ratio-c,metric-b,internet-utility,measure-1,4,tcp/119
0.061,europe,Verizon Communications,9535705801,0,3,7204870,0,ratio-a,metric-b,infrastructure,measure-3,1,"tcp/1900, udp/1900"
0,europe,Merck & Co.,7.77E+11,0,259,8766393,0,ratio-e,metric-b,general-business,measure-1,3,"tcp/3690, udp/3690"
0.044,europe,Home Depot,15872096,0,0,31,0,ratio-e,metric-c,general-business,measure-1,1,"tcp/4001, 4002"
0.012,europe,Sherwin-Williams,2941273010,0,1,14891,0,ratio-e,metric-c,management,measure-1,1,"tcp/9091, 9092"
0.016,europe,Prologis,1.52E+11,0,51,16155,0,ratio-e,metric-c,management,measure-1,1,"tcp/2967, udp/2967"
0.127,europe,Consolidated Edison,880108475,0,0,639,0,ratio-a,metric-c,remote-access,measure-1,1,tcp/24800
0.257,europe,Amphenol Corp,28668,0,0,58,0,ratio-e,metric-c,auth-service,measure-1,1,tcp/49
0.01,europe,Roper Industries,28541445888,0,10,29422162,0.001,ratio-e,metric-c,auth-service,measure-1,1,tcp/49
0.734,europe,Ameriprise Financial,48514960,0,0,9866,0,ratio-e,metric-c,management,measure-1,1,"tcp/17472, 8080, 8081"
0.077,europe,AmerisourceBergen Corp,3.74E+11,0,125,11429218,0,ratio-c,metric-c,file-sharing,measure-1,4,"tcp/69, udp/69"
0.004,europe,Alphabet Inc Class A,1898015628,0,1,131,0,ratio-d,metric-c,internet-conferencing,measure-1,4,"tcp/407, udp/407"
0.046,europe,Coca Cola Company,3735852622,0,1,15596103,0,ratio-e,metric-c,management,measure-1,2,"tcp/37, udp/37"
0.179,europe,Gilead Sciences,2.31E+11,0,77,3420987,0,ratio-e,metric-c,management,measure-1,1,tcp/3133
0.149,europe,Union Pacific,6006955,0,0,273,0,ratio-b,metric-c,gaming,measure-1,3,"tcp/5340, 5330, udp/5350"
0.039,europe,Broadcom,1.25E+11,0,42,6356779,0,ratio-d,metric-c,instant-messaging,measure-1,1,"tcp/443, tcp/5222, 5223"
0.054,europe,Mondelez International,61136116,0,0,23300,0,ratio-c,metric-c,internet-utility,measure-1,1,tcp/43
